iteration,start_flag,x,y,raw_angle,distance,quality
1,0,-1322.251763,1993.317404,123.558,2392,188
1,0,-1333.121234,1986.064394,123.871,2392,188
1,0,-1349.000107,1984.993378,124.2,2400,188
1,0,-1364.391082,1984.162538,124.514,2408,188
1,0,-1380.332489,1982.86112,124.843,2416,188
1,0,-1398.053627,1985.102027,125.156,2428,188
1,0,-1416.221727,1986.93634,125.48,2440,188
1,0,-1439.591176,1999.718292,125.75,2464,188
1,0,-1459.702709,2004.910971,126.057,2480,188
1,0,-1475.377441,2003.348548,126.37,2488,188
1,0,-1491.672367,2001.232008,126.7,2496,188
1,0,-1504.990531,1996.247355,127.013,2500,188
1,0,-1528.594769,2003.446539,127.343,2520,188
1,0,-1549.291202,2007.733242,127.656,2536,188
1,0,-1560.619835,1998.940152,127.98,2536,188
1,0,-1571.516465,1990.384887,128.293,2536,188
1,0,-1597.899861,2000.079007,128.622,2560,188
1,0,-1628.947372,2016.183141,128.936,2592,188
1,0,-1643.029278,2009.893229,129.265,2596,188
1,0,-1669.663251,2019.065286,129.589,2620,188
1,0,-1693.497723,2025.256888,129.902,2640,188
1,0,-1702.550675,2012.415762,130.232,2636,188
1,0,-1713.518803,2003.084949,130.545,2636,188
1,0,-1727.644903,1996.207176,130.875,2640,188
1,0,-1740.949863,1989.932053,131.182,2644,188
1,0,-1773.59097,2003.834093,131.512,2676,188
1,0,-1819.755369,2032.356858,131.841,2728,188
1,0,-1833.550534,2025.318849,132.155,2732,188
1,0,-1845.149893,2014.757026,132.484,2732,188
1,0,-1870.70421,2023.858137,132.748,2756,188
1,0,-1884.463443,2016.531064,133.061,2760,188
1,0,-1904.290188,2014.364138,133.391,2772,188
1,0,-1934.400088,2024.375533,133.698,2800,188
1,0,-1962.707741,2030.456679,134.028,2824,188
1,0,-1970.974832,2016.843626,134.341,2820,188
1,0,-1985.33535,2008.337509,134.67,2824,188
1,0,-2019.496967,2019.496967,135,2856,188
1,0,0,0,135.582,0,0
1,0,-2087.579112,2041.66928,135.637,2920,188
1,0,0,0,136.219,0,0
1,0,0,0,136.544,0,0
1,0,-2144.600611,2028.544359,136.593,2952,188
1,0,0,0,137.181,0,0
1,0,0,0,137.505,0,0
1,0,-2205.097414,2016.355474,137.56,2988,188
